Entity,Code,Year,Hospital beds (total number)
Ireland,IRL,2012,11692
Ireland,IRL,2013,11837
Ireland,IRL,2014,11989
Ireland,IRL,2015,13730
Ireland,IRL,2016,14131
Ireland,IRL,2017,14217
Isle of Man,IMN,1960,89
Isle of Man,IMN,1970,106
Isle of Man,IMN,1980,112
Isle of Man,IMN,1981,112
Isle of Man,IMN,1990,123
Isle of Man,IMN,2005,142
Isle of Man,IMN,2006,129
Isle of Man,IMN,2009,134
Israel,ISR,1960,14244
Israel,ISR,1975,27914
Israel,ISR,1980,26360
Israel,ISR,1981,26622
Israel,ISR,1982,27276
Israel,ISR,1983,26861
Israel,ISR,1984,27019
Israel,ISR,1985,27555
Israel,ISR,1986,27428
Israel,ISR,1987,27481
Israel,ISR,1988,28060
Israel,ISR,1989,28390
Israel,ISR,1990,29093
Israel,ISR,1991,29546
Israel,ISR,1992,30684
Israel,ISR,1993,31976
Israel,ISR,1994,32940
Israel,ISR,1995,33159
Israel,ISR,1996,34323
Israel,ISR,1997,35308
Israel,ISR,1998,36423
Israel,ISR,1999,37485
Israel,ISR,2000,23269
Israel,ISR,2001,24468
Israel,ISR,2002,24966
Israel,ISR,2003,25421
Israel,ISR,2004,25193
Israel,ISR,2005,25797
Israel,ISR,2006,23940
Israel,ISR,2007,24058
Israel,ISR,2008,24086
Israel,ISR,2009,23899
Israel,ISR,2010,24079
Israel,ISR,2011,24398
Israel,ISR,2012,24530
Israel,ISR,2013,24919
Israel,ISR,2014,25268
Israel,ISR,2015,25355
Israel,ISR,2016,25517
Israel,ISR,2017,26338
Israel,ISR,2018,26505
Italy,ITA,1960,446777
Italy,ITA,1961,454827
Italy,ITA,1962,468091
Italy,ITA,1963,476644
Italy,ITA,1964,490916
Italy,ITA,1965,500279
Italy,ITA,1966,509434
Italy,ITA,1967,523715
Italy,ITA,1968,537681
Italy,ITA,1969,551441
Italy,ITA,1970,570512
Italy,ITA,1971,573179
Italy,ITA,1972,576442
Italy,ITA,1973,574890
Italy,ITA,1974,584175
Italy,ITA,1975,587675
Italy,ITA,1976,579470
Italy,ITA,1977,576341
Italy,ITA,1978,561551
Italy,ITA,1979,551914
Italy,ITA,1980,541765
Italy,ITA,1981,531116
Italy,ITA,1982,514546
Italy,ITA,1983,503420
Italy,ITA,1984,480902
Italy,ITA,1985,469723
Italy,ITA,1986,452769
Italy,ITA,1987,441495
Italy,ITA,1988,424720
Italy,ITA,1989,402370
Italy,ITA,1990,408379
Italy,ITA,1991,385958
Italy,ITA,1992,391900
Italy,ITA,1993,380773
Italy,ITA,1994,375166
Italy,ITA,1995,358119
Italy,ITA,1996,369592
Italy,ITA,1997,335653
Italy,ITA,1998,312987
Italy,ITA,1999,278890
Italy,ITA,2000,267628
Italy,ITA,2001,262081
Italy,ITA,2002,251060
Italy,ITA,2003,240715
Italy,ITA,2004,230741
Italy,ITA,2005,234375
Italy,ITA,2006,232168
Italy,ITA,2007,228286
Italy,ITA,2008,223015
Italy,ITA,2009,218264
Italy,ITA,2010,215980
Italy,ITA,2011,208854
Italy,ITA,2012,203723
Italy,ITA,2013,199474
Italy,ITA,2014,195189
Italy,ITA,2015,194065
Italy,ITA,2016,192315
Italy,ITA,2017,192548
Jamaica,JAM,1960,6751
Jamaica,JAM,1970,7699
Jamaica,JAM,1975,10139
Jamaica,JAM,1985,7785
Jamaica,JAM,1989,5769
Jamaica,JAM,1990,5324
Jamaica,JAM,1993,5218
Jamaica,JAM,1995,5321
Jamaica,JAM,1996,5424
Jamaica,JAM,2001,4012
Jamaica,JAM,2002,4039
Jamaica,JAM,2003,3793
Jamaica,JAM,2004,4905
Jamaica,JAM,2005,4658
Jamaica,JAM,2006,5509
Jamaica,JAM,2007,4706
Jamaica,JAM,2009,4753
Jamaica,JAM,2010,5059
Jamaica,JAM,2012,4832
Jamaica,JAM,2013,4860
Japan,JPN,1960,832505
Japan,JPN,1970,1304312
Japan,JPN,1980,1599913
Japan,JPN,1985,1775084
Japan,JPN,1993,1942762
Japan,JPN,1994,1936896
Japan,JPN,1995,1931761
Japan,JPN,1996,1911506
Japan,JPN,1997,1903461
Japan,JPN,1998,1896000
Japan,JPN,1999,1874139
Japan,JPN,2000,1864592
Japan,JPN,2001,1640222
Japan,JPN,2002,1835208
Japan,JPN,2003,1826367
Japan,JPN,2004,1775878
Japan,JPN,2005,1798473
Japan,JPN,2006,1786487
Japan,JPN,2007,1775316
Japan,JPN,2008,1755971
Japan,JPN,2009,1743293
Japan,JPN,2010,1730215
Japan,JPN,2011,1712439
Japan,JPN,2012,1703853
Japan,JPN,2013,1695114
Japan,JPN,2014,1680625
Japan,JPN,2015,1673594
Japan,JPN,2016,1664456
Japan,JPN,2017,1653234
Jordan,JOR,1960,3364
Jordan,JOR,1970,1942
Jordan,JOR,1975,2120
Jordan,JOR,1980,2991
Jordan,JOR,1981,2973
Jordan,JOR,1985,3496
Jordan,JOR,1990,6411
Jordan,JOR,1994,7190
Jordan,JOR,1997,8727
Jordan,JOR,2000,8708
Jordan,JOR,2001,8869
Jordan,JOR,2002,9040
Jordan,JOR,2003,9238
Jordan,JOR,2004,9486
Jordan,JOR,2005,9802
Jordan,JOR,2006,11384
Jordan,JOR,2007,11885
Jordan,JOR,2008,11802
Jordan,JOR,2009,12408
Jordan,JOR,2010,13071
Jordan,JOR,2011,13794
Jordan,JOR,2012,14564
Jordan,JOR,2013,15337
Jordan,JOR,2014,16948
Jordan,JOR,2015,12973
Kazakhstan,KAZ,1980,193732
Kazakhstan,KAZ,1981,197893
Kazakhstan,KAZ,1982,201378
Kazakhstan,KAZ,1983,204596
Kazakhstan,KAZ,1984,209218
Kazakhstan,KAZ,1985,212828
Kazakhstan,KAZ,1986,214971
Kazakhstan,KAZ,1987,217430
Kazakhstan,KAZ,1988,219497
Kazakhstan,KAZ,1989,221481
Kazakhstan,KAZ,1990,223413
Kazakhstan,KAZ,1991,225520
Kazakhstan,KAZ,1992,221301
Kazakhstan,KAZ,1993,215014
Kazakhstan,KAZ,1994,195471
Kazakhstan,KAZ,1995,184252
Kazakhstan,KAZ,1996,160920
Kazakhstan,KAZ,1997,129570
Kazakhstan,KAZ,1998,123434
Kazakhstan,KAZ,1999,108231
Kazakhstan,KAZ,2000,107162
Kazakhstan,KAZ,2001,104008
Kazakhstan,KAZ,2002,104013
Kazakhstan,KAZ,2003,114799
Kazakhstan,KAZ,2004,117101
Kazakhstan,KAZ,2005,118147
Kazakhstan,KAZ,2006,119403
Kazakhstan,KAZ,2007,119228
Kazakhstan,KAZ,2008,120690
Kazakhstan,KAZ,2009,122305
Kazakhstan,KAZ,2010,119150
Kazakhstan,KAZ,2011,117556
Kazakhstan,KAZ,2012,117545
Kazakhstan,KAZ,2013,114138
Kenya,KEN,1960,10154
Kenya,KEN,1970,14288
Kenya,KEN,1975,16970
Kenya,KEN,1985,33932
Kenya,KEN,1989,32939
Kenya,KEN,1990,39079
Kenya,KEN,2002,64128
Kenya,KEN,2004,49889
Kenya,KEN,2006,52709
Kenya,KEN,2010,58843
Kiribati,KIR,1960,262
Kiribati,KIR,1970,631
Kiribati,KIR,1980,302
Kiribati,KIR,1981,287
Kiribati,KIR,1990,309
Kiribati,KIR,1998,147
Kiribati,KIR,2004,136
Kiribati,KIR,2005,139
Kiribati,KIR,2009,151
Kiribati,KIR,2010,144
Kiribati,KIR,2011,136
Kiribati,KIR,2015,211
Kuwait,KWT,1960,1829
Kuwait,KWT,1970,3599
Kuwait,KWT,1980,5673
Kuwait,KWT,1989,6248
Kuwait,KWT,1997,4720
Kuwait,KWT,2000,4908
Kuwait,KWT,2001,4838
Kuwait,KWT,2002,4701
Kuwait,KWT,2003,4756
Kuwait,KWT,2004,4621
Kuwait,KWT,2005,4313
Kuwait,KWT,2006,4510
Kuwait,KWT,2007,4758
Kuwait,KWT,2008,4781
Kuwait,KWT,2009,5642
Kuwait,KWT,2010,5984
Kuwait,KWT,2011,6019
Kuwait,KWT,2012,7367
Kuwait,KWT,2013,7758
Kuwait,KWT,2014,7382
Kyrgyzstan,KGZ,1980,43450
Kyrgyzstan,KGZ,1981,44666
Kyrgyzstan,KGZ,1982,45500
Kyrgyzstan,KGZ,1983,45816
Kyrgyzstan,KGZ,1984,46907
Kyrgyzstan,KGZ,1985,48005
Kyrgyzstan,KGZ,1986,48924
Kyrgyzstan,KGZ,1987,50001
Kyrgyzstan,KGZ,1988,50399
Kyrgyzstan,KGZ,1989,51569
Kyrgyzstan,KGZ,1990,52595
Kyrgyzstan,KGZ,1991,53822
Kyrgyzstan,KGZ,1992,53878
Kyrgyzstan,KGZ,1993,48535
Kyrgyzstan,KGZ,1994,43369
Kyrgyzstan,KGZ,1995,39402
Kyrgyzstan,KGZ,1996,38925
Kyrgyzstan,KGZ,1997,40389
Kyrgyzstan,KGZ,1998,39583
Kyrgyzstan,KGZ,1999,36158
Kyrgyzstan,KGZ,2000,34289
Kyrgyzstan,KGZ,2001,30660
Kyrgyzstan,KGZ,2002,27449
Kyrgyzstan,KGZ,2003,26729
Kyrgyzstan,KGZ,2004,26034
Kyrgyzstan,KGZ,2005,26329
Kyrgyzstan,KGZ,2006,26614
Kyrgyzstan,KGZ,2007,26869
Kyrgyzstan,KGZ,2008,26594
Kyrgyzstan,KGZ,2009,25840
Kyrgyzstan,KGZ,2010,26150
Kyrgyzstan,KGZ,2011,25919
Kyrgyzstan,KGZ,2012,25793
Kyrgyzstan,KGZ,2013,25738
Laos,LAO,1960,1002
Laos,LAO,1970,2493
Laos,LAO,1990,10943
Laos,LAO,2002,4944
Laos,LAO,2005,6902
Laos,LAO,2010,4374
Laos,LAO,2012,9667
Latin America & Caribbean,,1960,754530
Latin America & Caribbean,,1970,991028
Latin America & Caribbean,,1990,1098707
Latin America & Caribbean,,1993,1194163
Latin America & Caribbean,,1996,1110406
Latin America & Caribbean,,2009,1141299
Latin America & Caribbean,,2010,1318097
Latin America & Caribbean,,2011,1196041
Latin America & Caribbean,,2012,1269335
Latin America & Caribbean,,2013,1305305
Latin America & Caribbean,,2014,1340085
Latin America & Caribbean (excluding high income),,1960,687058
Latin America & Caribbean (excluding high income),,1970,909909
Latin America & Caribbean (excluding high income),,1990,1017583
Latin America & Caribbean (excluding high income),,1993,1113149
Latin America & Caribbean (excluding high income),,1996,1025790
Latin America & Caribbean (excluding high income),,2009,1074196
Latin America & Caribbean (excluding high income),,2010,1256574
Latin America & Caribbean (excluding high income),,2011,1128242
Latin America & Caribbean (excluding high income),,2012,1197699
Latin America & Caribbean (excluding high income),,2013,1232985
Latin America & Caribbean (excluding high income),,2014,1265941
Latin America & the Caribbean (IDA & IBRD countries),,1960,710344
Latin America & the Caribbean (IDA & IBRD countries),,1970,933318
Latin America & the Caribbean (IDA & IBRD countries),,1990,1027950
Latin America & the Caribbean (IDA & IBRD countries),,1993,1117394
Latin America & the Caribbean (IDA & IBRD countries),,1996,1036024
Latin America & the Caribbean (IDA & IBRD countries),,2009,1052734
Latin America & the Caribbean (IDA & IBRD countries),,2010,1230936
Latin America & the Caribbean (IDA & IBRD countries),,2011,1127683
Latin America & the Caribbean (IDA & IBRD countries),,2012,1193982
Latin America & the Caribbean (IDA & IBRD countries),,2013,1232613
Latin America & the Caribbean (IDA & IBRD countries),,2014,1254967
Latvia,LVA,1980,34890
Latvia,LVA,1985,36900
Latvia,LVA,1986,36900
Latvia,LVA,1987,37400
Latvia,LVA,1988,37400
Latvia,LVA,1989,37400
Latvia,LVA,1990,37485
Latvia,LVA,1991,36106
Latvia,LVA,1992,33831
Latvia,LVA,1993,31353
Latvia,LVA,1994,30388
Latvia,LVA,1995,27808
Latvia,LVA,1996,25653
Latvia,LVA,1997,23842
Latvia,LVA,1998,22678
Latvia,LVA,1999,21586
Latvia,LVA,2000,20834
Latvia,LVA,2001,19399
Latvia,LVA,2002,18250
Latvia,LVA,2003,18304
Latvia,LVA,2004,17879
Latvia,LVA,2005,17696
Latvia,LVA,2006,17407
Latvia,LVA,2007,17233
Latvia,LVA,2008,16907
Latvia,LVA,2009,14434
Latvia,LVA,2010,11920
Latvia,LVA,2011,12111
Latvia,LVA,2012,11972
Latvia,LVA,2013,11673
Latvia,LVA,2014,11279
Latvia,LVA,2015,11261
Latvia,LVA,2016,11208
Latvia,LVA,2017,10812
Least developed countries: UN classification,,1960,306287
Least developed countries: UN classification,,1970,305890
Least developed countries: UN classification,,1990,370491
Lebanon,LBN,1960,8269
Lebanon,LBN,1970,9416
Lebanon,LBN,1990,4627
Lebanon,LBN,1992,9483
Lebanon,LBN,1997,9878
Lebanon,LBN,2000,11913
Lebanon,LBN,2001,11973
Lebanon,LBN,2002,12547
Lebanon,LBN,2003,13165
Lebanon,LBN,2004,13708
Lebanon,LBN,2005,16916
Lebanon,LBN,2006,17135
Lebanon,LBN,2007,16209
Lebanon,LBN,2008,16200
Lebanon,LBN,2009,16846
Lebanon,LBN,2010,17336
Lebanon,LBN,2011,18208
Lebanon,LBN,2012,19385
Lebanon,LBN,2013,17152
Lebanon,LBN,2014,18161
Lesotho,LSO,1960,924
Lesotho,LSO,1970,1795
Lesotho,LSO,1975,1890
Lesotho,LSO,2006,2587
Liberia,LBR,1960,1479
Liberia,LBR,1970,2209
Liberia,LBR,1975,2636
Liberia,LBR,2009,2628
Liberia,LBR,2010,3113
Libya,LBY,1960,3991
Libya,LBY,1970,8137
Libya,LBY,1981,16155
Libya,LBY,1990,18514
Libya,LBY,1997,22007
Libya,LBY,2000,21967
Libya,LBY,2001,21229
Libya,LBY,2002,21571
Libya,LBY,2003,21920
Libya,LBY,2004,22270
Libya,LBY,2005,19715
Libya,LBY,2006,21781
Libya,LBY,2007,22107
Libya,LBY,2008,22417
Libya,LBY,2009,22696
Libya,LBY,2010,22931
Libya,LBY,2011,23116
Libya,LBY,2012,23257
Libya,LBY,2013,23385
Libya,LBY,2014,23540
Liechtenstein,LIE,2009,70
Liechtenstein,LIE,2010,78
Liechtenstein,LIE,2011,78
Liechtenstein,LIE,2012,78
Liechtenstein,LIE,2013,61
Liechtenstein,LIE,2014,61
Liechtenstein,LIE,2015,60
Liechtenstein,LIE,2016,60
Liechtenstein,LIE,2017,91
Liechtenstein,LIE,2018,39
Lithuania,LTU,1980,41185
Lithuania,LTU,1985,45285
Lithuania,LTU,1986,45700
Lithuania,LTU,1987,46300
Lithuania,LTU,1988,46804
Lithuania,LTU,1989,46554
Lithuania,LTU,1990,46176
Lithuania,LTU,1991,46174
Lithuania,LTU,1992,44569
Lithuania,LTU,1993,43862
Lithuania,LTU,1994,41266
Lithuania,LTU,1995,40247
Lithuania,LTU,1996,39186
Lithuania,LTU,1997,36431
Lithuania,LTU,1998,35600
Lithuania,LTU,1999,34714
Lithuania,LTU,2000,30796
Lithuania,LTU,2001,28808
Lithuania,LTU,2002,27889
Lithuania,LTU,2003,26980
Lithuania,LTU,2004,25666
Lithuania,LTU,2005,24200
Lithuania,LTU,2006,23379
Lithuania,LTU,2007,23233
Lithuania,LTU,2008,22958
Lithuania,LTU,2009,22719
Lithuania,LTU,2010,22190
Lithuania,LTU,2011,22511
Lithuania,LTU,2012,22206
Lithuania,LTU,2013,21538
Lithuania,LTU,2014,21176
Lithuania,LTU,2015,20236
Lithuania,LTU,2016,19193
Lithuania,LTU,2017,18548
Low & middle income,,1970,3909118
Low & middle income,,1975,4873737
Low & middle income,,1980,7165666
Low & middle income,,1985,10740281
Low & middle income,,1990,12732532
Low & middle income,,1991,11534036
Low & middle income,,2002,10873333
Low & middle income,,2003,11434917
Low & middle income,,2005,11737743
Low & middle income,,2011,14204559
Low income,,1960,209974
Low income,,1970,238457
Low income,,1990,334227
Low income,,2006,596063
Lower middle income,,1960,659318
Lower middle income,,1970,938473
Lower middle income,,1975,1090454
Lower middle income,,1980,2408214
Lower middle income,,1981,2350797
Lower middle income,,1985,2543888
Lower middle income,,1991,2769704
Lower middle income,,2002,2449517
Lower middle income,,2005,3125180
Lower middle income,,2011,2692498
Luxembourg,LUX,1986,2984
Luxembourg,LUX,1987,2966
Luxembourg,LUX,1988,2950
Luxembourg,LUX,1989,2941
Luxembourg,LUX,1990,2902
Luxembourg,LUX,1991,2902
Luxembourg,LUX,1992,2863
Luxembourg,LUX,1993,2941
Luxembourg,LUX,1994,2901
Luxembourg,LUX,1995,2901
Luxembourg,LUX,1996,2900
Luxembourg,LUX,1997,2894
Luxembourg,LUX,1998,2888
Luxembourg,LUX,1999,2712
Luxembourg,LUX,2000,2705
Luxembourg,LUX,2001,2693
Luxembourg,LUX,2002,2677
Luxembourg,LUX,2003,2710
Luxembourg,LUX,2004,2932
Luxembourg,LUX,2005,2691
Luxembourg,LUX,2006,2671
Luxembourg,LUX,2007,2721
Luxembourg,LUX,2008,2721
Luxembourg,LUX,2009,2721
Luxembourg,LUX,2010,2721
Luxembourg,LUX,2011,2736
Luxembourg,LUX,2012,2736
Luxembourg,LUX,2013,2810
Luxembourg,LUX,2014,2811
Luxembourg,LUX,2015,2810
Luxembourg,LUX,2016,2804
Luxembourg,LUX,2017,2780
Luxembourg,LUX,2018,2740
Macao,MAC,1960,1698
Macao,MAC,1970,1304
Madagascar,MDG,1960,12270
Madagascar,MDG,1970,18353
Madagascar,MDG,1975,18371
Madagascar,MDG,1990,10856
Madagascar,MDG,2002,7041
Madagascar,MDG,2005,5501
Madagascar,MDG,2010,4230
Malawi,MWI,1960,4095
Malawi,MWI,1970,7237
Malawi,MWI,1989,7641
Malawi,MWI,1990,14584
Malawi,MWI,1998,14140
Malawi,MWI,2007,14676
Malawi,MWI,2011,19451
Malaysia,MYS,1960,30408
Malaysia,MYS,1970,37487
Malaysia,MYS,1975,40703
Malaysia,MYS,1981,32202
Malaysia,MYS,1985,39896
Malaysia,MYS,1987,40940
Malaysia,MYS,1989,41009
Malaysia,MYS,1990,38414
Malaysia,MYS,1991,38779
Malaysia,MYS,1992,39159
Malaysia,MYS,1993,39545
Malaysia,MYS,1994,40385
Malaysia,MYS,1995,41590
Malaysia,MYS,1996,42245
Malaysia,MYS,2001,42676
Malaysia,MYS,2005,46243
Malaysia,MYS,2006,49784
Malaysia,MYS,2007,47028
Malaysia,MYS,2009,49923
Malaysia,MYS,2010,50774
Malaysia,MYS,2011,51285
Malaysia,MYS,2012,55230
Malaysia,MYS,2015,57515
Maldives,MDV,1990,170
Maldives,MDV,2000,475
Maldives,MDV,2002,665
Maldives,MDV,2003,696
Maldives,MDV,2005,831
Maldives,MDV,2009,1520
Mali,MLI,1960,3519
Mali,MLI,1970,4040
Mali,MLI,1975,4630
Mali,MLI,1998,2487
Mali,MLI,2005,3833
Mali,MLI,2008,8468
Mali,MLI,2010,1505
Malta,MLT,1960,3023
Malta,MLT,1984,3129
Malta,MLT,1987,3216
Malta,MLT,1988,3215
Malta,MLT,1989,3311
Malta,MLT,1993,2170
Malta,MLT,1994,2107
Malta,MLT,1995,2049
Malta,MLT,1996,2196
Malta,MLT,1997,2159
Malta,MLT,1998,2161
Malta,MLT,1999,2159
Malta,MLT,2000,2145
Malta,MLT,2001,2987
Malta,MLT,2002,2970
Malta,MLT,2003,2950
Malta,MLT,2004,3010
Malta,MLT,2005,2988
Malta,MLT,2006,3080
Malta,MLT,2007,3172
Malta,MLT,2008,3029
Malta,MLT,2009,1993
Malta,MLT,2010,1874
Malta,MLT,2011,1824
Malta,MLT,2012,1977
Malta,MLT,2013,2034
Malta,MLT,2014,1994
Malta,MLT,2015,2041
Malta,MLT,2016,2127
Malta,MLT,2017,2099
Malta,MLT,2018,2088
Marshall Islands,MHL,1990,107
Marshall Islands,MHL,1999,106
Marshall Islands,MHL,2009,152
Marshall Islands,MHL,2010,152
Mauritania,MRT,1960,174
Mauritania,MRT,1970,394
Mauritania,MRT,1975,458
Mauritania,MRT,1984,1329
Mauritania,MRT,1990,1354
Mauritania,MRT,2006,1245
Mauritius,MUS,1960,3110
Mauritius,MUS,1970,3264
Mauritius,MUS,1975,2943
Mauritius,MUS,1980,3016
Mauritius,MUS,1985,3415
Mauritius,MUS,1991,3089
Mauritius,MUS,1992,3400
Mauritius,MUS,1993,3396
Mauritius,MUS,1994,3422
Mauritius,MUS,2005,3685
Mauritius,MUS,2008,4106
Mauritius,MUS,2011,4258
Mexico,MEX,1980,47433
Mexico,MEX,1990,83943
Mexico,MEX,1991,94064
Mexico,MEX,1992,104490
Mexico,MEX,1993,106351
Mexico,MEX,1994,108188
Mexico,MEX,1995,109996
Mexico,MEX,1996,111776
Mexico,MEX,1997,104072
Mexico,MEX,1998,105662
Mexico,MEX,1999,107233
Mexico,MEX,2000,108790
Mexico,MEX,2001,110328
Mexico,MEX,2002,111853
Mexico,MEX,2003,103081
Mexico,MEX,2004,104515
Mexico,MEX,2005,181575
Mexico,MEX,2006,176252
Mexico,MEX,2007,180583
Mexico,MEX,2008,180953
Mexico,MEX,2009,179340
Mexico,MEX,2010,182007
Mexico,MEX,2011,163569
Mexico,MEX,2012,164873
Mexico,MEX,2013,170401
Mexico,MEX,2014,170106
Mexico,MEX,2015,167357
Mexico,MEX,2016,169337
Mexico,MEX,2017,168828
Micronesia (region),,1989,326
Micronesia (region),,2000,301
Micronesia (region),,2005,350
Micronesia (region),,2006,349
Micronesia (region),,2009,330
Middle East & North Africa,,1960,203369
Middle East & North Africa,,1970,262885
Middle East & North Africa,,1981,356852
Middle East & North Africa,,1990,480965
Middle East & North Africa,,2000,556841
Middle East & North Africa,,2001,584213
Middle East & North Africa,,2002,577026
Middle East & North Africa,,2003,588057
Middle East & North Africa,,2004,604531
Middle East & North Africa,,2005,621990
Middle East & North Africa,,2006,643340
Middle East & North Africa,,2007,661523
Middle East & North Africa,,2008,636044
Middle East & North Africa,,2009,614067
Middle East & North Africa,,2010,651292
Middle East & North Africa,,2011,534462
Middle East & North Africa,,2012,409757
Middle East & North Africa,,2013,539380
Middle East & North Africa,,2014,680596
Middle East & North Africa (IDA & IBRD countries),,1960,179886
Middle East & North Africa (IDA & IBRD countries),,1970,242822
Middle East & North Africa (IDA & IBRD countries),,1980,291131
Middle East & North Africa (IDA & IBRD countries),,1981,300934
Middle East & North Africa (IDA & IBRD countries),,1990,392481
Middle East & North Africa (IDA & IBRD countries),,2000,454242
Middle East & North Africa (IDA & IBRD countries),,2001,456654
Middle East & North Africa (IDA & IBRD countries),,2002,471315
Middle East & North Africa (IDA & IBRD countries),,2003,479463
Middle East & North Africa (IDA & IBRD countries),,2004,496600
Middle East & North Africa (IDA & IBRD countries),,2005,504444
Middle East & North Africa (IDA & IBRD countries),,2006,525114
Middle East & North Africa (IDA & IBRD countries),,2007,521834
Middle East & North Africa (IDA & IBRD countries),,2008,515011
Middle East & North Africa (IDA & IBRD countries),,2009,489163
Middle East & North Africa (IDA & IBRD countries),,2010,522581
Middle East & North Africa (IDA & IBRD countries),,2011,413074
Middle East & North Africa (IDA & IBRD countries),,2012,282055
Middle East & North Africa (IDA & IBRD countries),,2013,403822
Middle East & North Africa (IDA & IBRD countries),,2014,536098
Middle East & North Africa (excluding high income),,1960,179886
Middle East & North Africa (excluding high income),,1970,242822
Middle East & North Africa (excluding high income),,1980,291131
Middle East & North Africa (excluding high income),,1981,300934
Middle East & North Africa (excluding high income),,1990,395943
Middle East & North Africa (excluding high income),,2000,459045
Middle East & North Africa (excluding high income),,2001,461522
Middle East & North Africa (excluding high income),,2002,476380
Middle East & North Africa (excluding high income),,2003,484658
Middle East & North Africa (excluding high income),,2004,502025
Middle East & North Africa (excluding high income),,2005,510000
Middle East & North Africa (excluding high income),,2006,530946
Middle East & North Africa (excluding high income),,2007,527677
Middle East & North Africa (excluding high income),,2008,520836
Middle East & North Africa (excluding high income),,2009,494747
Middle East & North Africa (excluding high income),,2010,528595
Middle East & North Africa (excluding high income),,2011,417863
Middle East & North Africa (excluding high income),,2012,285346
Middle East & North Africa (excluding high income),,2013,408564
Middle East & North Africa (excluding high income),,2014,542427
Middle income,,1970,3669492
Middle income,,1975,4577461
Middle income,,1980,6811673
Middle income,,1981,6872552
Middle income,,1985,9976543
Middle income,,1987,11674686
Middle income,,1990,12397272
Middle income,,1991,10714374
Middle income,,2002,9769137
Middle income,,2003,10502425
Middle income,,2005,11014354
Middle income,,2011,12600134
Moldova,MDA,1980,40938
Moldova,MDA,1981,41430
Moldova,MDA,1982,41745
Moldova,MDA,1983,42279
Moldova,MDA,1984,42939
Moldova,MDA,1985,43627
Moldova,MDA,1986,44793
Moldova,MDA,1987,46021
Moldova,MDA,1988,46715
Moldova,MDA,1989,46850
Moldova,MDA,1990,48594
Moldova,MDA,1991,48582
Moldova,MDA,1992,47401
Moldova,MDA,1993,46198
Moldova,MDA,1994,45097
Moldova,MDA,1995,44873
Moldova,MDA,1996,44490
Moldova,MDA,1997,42462
Moldova,MDA,1998,41020
Moldova,MDA,1999,29869
Moldova,MDA,2000,21838
Moldova,MDA,2001,21426
Moldova,MDA,2002,21014
Moldova,MDA,2003,24206
Moldova,MDA,2004,23065
Moldova,MDA,2005,23009
Moldova,MDA,2006,22587
Moldova,MDA,2007,21819
Moldova,MDA,2008,21778
Moldova,MDA,2009,22107
Moldova,MDA,2010,22085
Moldova,MDA,2011,22072
Moldova,MDA,2012,22069
Moldova,MDA,2013,20640
Monaco,MCO,1989,531
Monaco,MCO,1992,647
Monaco,MCO,1995,601
Monaco,MCO,2011,593
Monaco,MCO,2012,503
Mongolia,MNG,1960,8296
Mongolia,MNG,1970,12143
Mongolia,MNG,1980,18919
Mongolia,MNG,1981,19118
Mongolia,MNG,1991,25476
Mongolia,MNG,2002,18325
Mongolia,MNG,2004,14978
Mongolia,MNG,2006,16377
Mongolia,MNG,2007,15848
Mongolia,MNG,2009,15775
Mongolia,MNG,2010,15775
Mongolia,MNG,2011,18700
Mongolia,MNG,2012,19773
Montenegro,MNE,2000,2541
Montenegro,MNE,2001,2612
Montenegro,MNE,2002,2561
Montenegro,MNE,2003,2572
Montenegro,MNE,2004,2576
Montenegro,MNE,2005,2580
Montenegro,MNE,2006,2522
Montenegro,MNE,2007,2464
Montenegro,MNE,2008,2406
Montenegro,MNE,2009,2437
Montenegro,MNE,2010,2466
Montenegro,MNE,2011,2466
Montenegro,MNE,2012,2466
Montenegro,MNE,2013,2416
Montenegro,MNE,2014,2446
Montenegro,MNE,2015,2446
Montenegro,MNE,2016,2446
Montenegro,MNE,2017,2403
Morocco,MAR,1960,19706
Morocco,MAR,1970,23594
Morocco,MAR,1975,25424
Morocco,MAR,1981,25153
Morocco,MAR,1985,28504
Morocco,MAR,1990,32002
Morocco,MAR,1994,29570
Morocco,MAR,1997,27199
Morocco,MAR,2000,31673
Morocco,MAR,2001,26214
Morocco,MAR,2002,32400
Morocco,MAR,2003,23826
Morocco,MAR,2004,27104
Morocco,MAR,2005,27410
Morocco,MAR,2006,27724
Morocco,MAR,2007,28047
Morocco,MAR,2008,34690
Morocco,MAR,2009,35122
Morocco,MAR,2010,35578
Morocco,MAR,2011,29504
Morocco,MAR,2012,29918
Morocco,MAR,2013,30344
Morocco,MAR,2014,37612
Mozambique,MOZ,1960,5812
Mozambique,MOZ,1970,10604
Mozambique,MOZ,1980,12673
Mozambique,MOZ,1990,11261
Mozambique,MOZ,2006,16864
Mozambique,MOZ,2007,17339
Mozambique,MOZ,2011,16931
Myanmar,MMR,1960,14412
Myanmar,MMR,1970,23400
Myanmar,MMR,1980,29334
Myanmar,MMR,1981,29996
Myanmar,MMR,1990,26281
Myanmar,MMR,2000,32704
Myanmar,MMR,2002,30052
Myanmar,MMR,2006,29581
Myanmar,MMR,2012,46272
Namibia,NAM,2006,6505
Namibia,NAM,2009,5619
Nauru,NRU,2004,35
Nauru,NRU,2007,34
Nauru,NRU,2010,50
Nepal,NPL,1960,1170
Nepal,NPL,1970,1634
Nepal,NPL,1975,1848
